t,a,o2,r,d,_
246,[-0.38456887  0.9786706   0.7796806   0.5360669  -0.78211737 -0.17994477],"[  1.22453312  -0.10140507  -0.03031014  -0.15363724   0.62765685
   0.0318609   -0.2957851    0.66460945  -0.96968306  -1.33910792
  -6.36510685  -8.13019261   4.66328311  10.           1.63248317
 -10.          10.        ]",0.05816824598366596,False,"{'x_position': -0.026657687548037587, 'x_velocity': -0.939186707305366}"
247,[-0.4881513   0.9009019  -0.8841086  -0.03889216 -0.05675891  0.6245837 ],"[  1.21357478  -0.17094653  -0.14103735  -0.06503542   0.85913163
   0.01491944  -0.42452364   0.88816457  -0.88653359  -1.37241639
 -10.         -10.          10.          10.          -5.77644206
 -10.          10.        ]",0.07344337722170782,False,"{'x_position': -0.03405232930628016, 'x_velocity': -0.9243302197803216}"
248,[-0.14670368 -0.1361291   0.3027092  -0.08114571  0.31096756 -0.2834634 ],"[  1.20214783  -0.26244419  -0.29773624   0.06022845   0.96023532
  -0.04114336  -0.5344967    0.99550753  -1.06367002  -1.45608189
 -10.         -10.          10.           7.03466233  -7.6042151
 -10.           7.01722405]",0.06182602217529062,False,"{'x_position': -0.041555198545631604, 'x_velocity': -0.9378586549189305}"
249,[-0.16743661 -0.00750358 -0.7229964   0.6904567  -0.26432535 -0.33521786],"[  1.19325268  -0.34162299  -0.40827494   0.11668839   0.98440834
  -0.08295625  -0.64432952   1.01108519  -1.12889906  -0.81686591
  -8.27533223 -10.           3.81807591  -0.59415865  -2.8941596
 -10.          -2.85491399]",-0.1048652868602074,False,"{'x_position': -0.050384442565404926, 'x_velocity': -1.1036555024716652}"
250,[ 0.612787   -0.13793176  0.6025887   0.00285641  0.8073722  -0.71400994],"[  1.18850755  -0.39682761  -0.46897934   0.12962035   0.97070428
  -0.10138025  -0.74495735   0.94262706  -0.92013939  -0.39383092
  -5.51554909  -5.15017348  -0.17074877  -2.53832931  -1.54192338
 -10.         -10.        ]",-0.028232174411866946,False,"{'x_position': -0.058594945444670504, 'x_velocity': -1.0263128599081972}"
251,[-0.6446598   0.45415604 -0.23113483 -0.4770934  -0.6916524  -0.13364084],"[  1.18388058  -0.46251643  -0.53041016   0.12222095   0.94470122
  -0.13665944  -0.83370295   0.81568531  -1.46529516  -0.7954972
 -10.         -10.          -1.48644333  -3.96717348  -7.27183519
 -10.         -10.        ]",-0.20328890462370253,False,"{'x_position': -0.06821006365511746, 'x_velocity': -1.2018897763058696}"
252,[ 0.6764983   0.7123722   0.22167896  0.33432758 -0.74992865  0.28742322],"[  1.17906418  -0.52981092  -0.58902356   0.10705234   0.9138278
  -0.16689289  -0.93267195   0.67820412  -1.10234857  -0.4069575
  -5.94136108  -4.45699785  -2.16856083  -3.68554405  -0.34150583
 -10.         -10.        ]",-0.28425866112019904,False,"{'x_position': -0.07846996457764686, 'x_velocity': -1.2824876153161753}"
253,[-0.3283919   0.4518938  -0.97626555  0.9944976  -0.24411294  0.9886242 ],"[  1.17687142  -0.56368612  -0.60779481   0.09035192   0.84722623
  -0.15329109  -1.03691616   0.59517371  -0.91414717  -0.13798299
  -2.54886964  -0.27223331  -1.97671707 -10.           3.66382046
 -10.          -4.16747678]",-0.011034276036853849,False,"{'x_position': -0.08653190968247185, 'x_velocity': -1.0077431381031228}"
254,[ 0.08459901  0.07143421  0.10223873  0.7622932  -0.33374223  0.38962066],"[  1.17716356  -0.56841513  -0.59208255   0.07324692   0.74599871
  -0.10447089  -1.14093422   0.57480476  -0.62177939   0.21198285
   1.3478869    4.18247725  -2.31526022 -10.           8.49115959
 -10.          -0.9238787 ]",0.2310675878511436,False,"{'x_position': -0.0926764330465496, 'x_velocity': -0.7680654205097192}"
255,[ 0.16590184 -0.8421683  -0.47781298 -0.46980214  0.23715678 -0.31707245],"[  1.17902184  -0.564756    -0.55784752   0.0394082    0.63047193
  -0.04778433  -1.23772997   0.54698325  -0.89562456   0.24291209
  -0.3788834    4.51880777  -6.54708786 -10.           5.8139321
 -10.          -5.95323255]",0.2416536918827099,False,"{'x_position': -0.09873246296526142, 'x_velocity': -0.7570037398389774}"
256,[ 0.19699904  0.17729726 -0.66371465 -0.60007006  0.09629512 -0.97011834],"[ 1.18083384e+00 -5.79185234e-01 -5.40309492e-01 -8.11989228e-04
  4.49129570e-01 -1.50841200e-02 -1.32256636e+00  4.39318819e-01
 -1.04853843e+00  2.17519734e-01 -3.22923915e+00 -1.14045453e-01
 -3.39970312e+00 -1.00000000e+01  2.39819277e+00 -1.00000000e+01
 -1.00000000e+01]",0.02819893696177203,False,"{'x_position': -0.10649230149752897, 'x_velocity': -0.9699798165334443}"
257,[-0.84363663  0.82525     0.58590645 -0.06507915 -0.83725417 -0.8429988 ],"[ 1.17991510e+00 -6.23434103e-01 -5.76952373e-01  6.70336671e-03
  2.49534848e-01 -1.08361511e-02 -1.40976760e+00  2.13031441e-01
 -1.25215436e+00 -4.45777575e-01 -7.53674717e+00 -7.54223157e+00
  2.77108702e+00 -1.00000000e+01 -7.91496286e-01 -1.00000000e+01
 -1.00000000e+01]",-0.12252753323303574,False,"{'x_position': -0.11544730637414155, 'x_velocity': -1.1193756095765721}"
258,[-0.01239665 -0.9052812  -0.03887346 -0.4318573  -0.15943176 -0.28772894],"[ 1.17529657e+00 -6.89767796e-01 -6.31175520e-01  4.70211860e-03
  8.73593393e-02 -2.20095133e-02 -1.49265667e+00 -9.76998365e-02
 -1.56490143e+00 -7.17894769e-01 -9.04047429e+00 -6.00909327e+00
 -3.24262236e+00 -1.00000000e+01 -2.02177348e+00 -9.03697527e+00
 -1.00000000e+01]",-0.41263428285018544,False,"{'x_position': -0.12673945338894194, 'x_velocity': -1.411518376850048}"
259,[ 0.9681717   0.42538938  0.6357828  -0.41125482  0.7342771  -0.85281146],"[  1.17006346  -0.74993113  -0.6595745   -0.03141509  -0.02995306
  -0.02237927  -1.54863974  -0.50538182  -1.42520865  -0.58434556
  -6.00144194  -1.11156523  -5.8376696   -9.84073564   1.79574105
  -4.47725551 -10.        ]",-0.4953402188630514,False,"{'x_position': -0.13867851023429825, 'x_velocity': -1.4923821056695394}"
260,[-0.18297243 -0.84106493 -0.93965     0.7451275   0.4527909   0.18040612],"[ 1.16653996e+00 -7.87034239e-01 -6.49475953e-01 -8.95209412e-02
 -1.60721613e-01 -2.75048970e-03 -1.56784890e+00 -9.63107572e-01
 -1.28852971e+00 -3.25056298e-01 -3.38806795e+00  3.32403734e+00
 -8.44454565e+00 -1.00000000e+01  2.39499566e+00 -1.70440565e+00
 -1.00000000e+01]",-0.3888570689629969,False,"{'x_position': -0.14977003405094058, 'x_velocity': -1.3864404770802912}"
261,[ 0.5725084  -0.9355163  -0.10091756  0.00786429  0.93365103  0.08628561],"[  1.16401883  -0.80852309  -0.60240014  -0.18981304  -0.25924539
   0.01332296  -1.5843708   -1.1771364   -1.27208472  -0.3719606
  -2.46452715   7.84180174 -10.          -5.10544158   1.36600946
  -2.46144632 -10.        ]",-0.2632458028567583,False,"{'x_position': -0.15985926165657968, 'x_velocity': -1.2611534507048876}"
262,[ 0.9035686   0.609642   -0.01383642  0.08746083 -0.06287145 -0.66292804],"[  1.16078788  -0.82697848  -0.5418536   -0.3172273   -0.27263576
   0.02102821  -1.60904629  -1.23034688  -1.06021938  -0.43153805
  -2.15361123   7.30853342 -10.           0.68905459   0.63700395
  -3.55670263  -0.67110096]",-0.16244703088724774,False,"{'x_position': -0.16914572296780273, 'x_velocity': -1.1608076639028804}"
263,[ 0.22130606  0.8730629   0.21765898  0.5902376  -0.8311968   0.4582683 ],"[  1.15649358  -0.84464691  -0.493696    -0.42511728  -0.24896548
   0.02432634  -1.64856684  -1.17582688  -0.80521847  -0.62558211
  -2.20261426   4.82964883 -10.           4.96511464   0.22545701
  -6.24831808  10.        ]",0.06618615956198376,False,"{'x_position': -0.17659937073812082, 'x_velocity': -0.9317059712897618}"
264,[ 0.18559875  0.2625244  -0.937379    0.7610741   0.45874283 -0.31745046],"[ 1.15280022 -0.86054308 -0.45568605 -0.51064448 -0.22552621  0.02500571
 -1.6904101  -1.07722664 -0.79253401 -0.29873629 -1.7625805   4.71626016
 -9.92998557  0.91909292 -0.0231338  -4.26037027 10.        ]",0.2008191828206636,False,"{'x_position': -0.18297783728364267, 'x_velocity': -0.7973083181902312}"
265,[-0.90476364  0.4744426   0.17425385  0.3877875  -0.99660647 -0.5596369 ],"[ 1.14891431 -0.88572411 -0.44176967 -0.56896991 -0.20691388  0.0137502
 -1.72649603 -1.00346105 -0.78655086 -0.66846723 -4.54094367 -1.21812027
 -4.70284055  3.77899067 -2.81188204 -4.75103111  7.90694074]",0.20797353649543562,False,"{'x_position': -0.18929380215406322, 'x_velocity': -0.7894956088025685}"
266,[-0.45520657 -0.54517686  0.39015386  0.85803986  0.7939958   0.12253162],"[ 1.14318031e+00 -9.16351490e-01 -4.42132170e-01 -6.15409396e-01
 -1.50651609e-01 -1.11645952e-03 -1.76466265e+00 -9.39566937e-01
 -7.15818784e-01 -7.53074794e-01 -2.94021456e+00  1.34422570e+00
 -6.92643486e+00  1.00000000e+01 -6.50601239e-01 -4.85436345e+00
  8.02187570e+00]",0.24528076583278513,False,"{'x_position': -0.19531524941538617, 'x_velocity': -0.7526809076653685}"
267,[-0.24794553 -0.3678395   0.16557813  0.98284465 -0.74539256  0.7171653 ],"[ 1.13620763e+00 -9.29271010e-01 -4.14000119e-01 -6.82504588e-01
 -5.49026851e-02  7.94201617e-03 -1.81917015e+00 -8.04660535e-01
 -6.50493640e-01 -1.06060234e+00 -1.47657294e+00  4.05438337e+00
 -9.24977395e+00  1.00000000e+01  1.13679984e+00 -8.20099980e+00
  1.00000000e+01]",0.3259545162140687,False,"{'x_position': -0.2006895323358903, 'x_velocity': -0.6717853650630157}"
268,[-0.27405208 -0.6409607  -0.75201225  0.05494146 -0.19775619  0.08363004],"[ 1.12682229e+00 -9.44140403e-01 -3.78490574e-01 -7.65387106e-01
  1.58185406e-03  1.34626542e-02 -1.88347909e+00 -5.97029556e-01
 -8.19487515e-01 -1.28946973e+00 -2.18821652e+00  4.89032240e+00
 -1.00000000e+01  6.94467092e-01  3.33274103e-01 -7.90042921e+00
  1.00000000e+01]",0.2618743383348244,False,"{'x_position': -0.20658573300656155, 'x_velocity': -0.7370250838339073}"
269,[-0.66907585 -0.78491676 -0.1725986  -0.33896807 -0.125747   -0.89718586],"[ 1.11400746e+00 -9.80618190e-01 -3.59628394e-01 -8.57979665e-01
 -8.61926140e-03 -1.40580865e-03 -1.93900799e+00 -4.66192433e-01
 -1.06255860e+00 -1.92212408e+00 -6.92831020e+00 -1.83688406e-01
 -1.00000000e+01 -3.23113606e+00 -4.00283791e+00 -6.13199641e+00
  6.87786327e+00]",0.04982317966570744,False,"{'x_position': -0.2141709139590827, 'x_velocity': -0.9481476190651428}"
270,[ 0.04278155  0.0433144   0.5459145   0.03577571 -0.25917378 -0.1948723 ],"[ 1.09777176e+00 -1.03186944e+00 -3.58027379e-01 -9.49569098e-01
 -1.30827532e-03 -2.53430462e-02 -1.99126040e+00 -4.28103744e-01
 -9.23575433e-01 -2.13265653e+00 -5.89515530e+00  5.61597774e-01
 -1.00000000e+01  5.07975869e+00 -1.99851099e+00 -6.92062620e+00
  2.66339731e+00]",0.007389082595386926,True,"{'x_position': -0.2221085360569351, 'x_velocity': -0.9922027622315498}"
271,[ 0.6076418   0.74972254 -0.0020232   0.36912227  0.3067411   0.33540604],"[ 1.24444718e+00  6.48361095e-03  1.01871551e-03  7.50457532e-03
 -4.51448336e-03  3.40965143e-03  1.14479749e-03  1.45373656e-02
  1.60467718e-01 -1.46526532e-01  6.94150031e-01  1.06465497e-01
  1.33727810e+00 -3.02578343e-01  4.87475787e-01  3.24389947e-01
  4.79701017e+00]",1.1342434865796562,False,"{'x_position': 0.0057285168287904056, 'x_velocity': 0.13551764171957942}"
272,[ 0.05690226 -0.7529639   0.14415474  0.55654013 -0.818155    0.43074995],"[ 1.24257448e+00  2.28541142e-03  1.93345557e-03 -2.93712020e-03
  1.23637428e-02  7.52915590e-03 -1.83444328e-02  8.75324188e-02
 -4.35576396e-01 -3.25596608e-01 -1.74619949e+00  1.16517650e-01
 -3.94127851e+00  4.48612693e+00  5.24035560e-01 -5.14119969e+00
  1.00000000e+01]",0.8603426531981494,False,"{'x_position': 0.004625303118348073, 'x_velocity': -0.1379017138052915}"
273,[-0.28616044 -0.34785149  0.09024438  0.6497604   0.6524465  -0.30835423],"[ 1.23977176e+00 -1.16350471e-02  2.90982798e-03 -3.66021263e-02
  5.32425653e-02  5.36682430e-03 -4.46163812e-02  1.69807271e-01
 -3.36813755e-01 -3.73505077e-01 -1.73458128e+00  1.23446855e-01
 -4.46607119e+00  5.70330702e+00 -1.05605744e+00 -1.46464095e+00
  7.34611366e+00]",0.6127937445108064,False,"{'x_position': 0.001536884993723159, 'x_velocity': -0.3860522655781143}"
274,[-0.6382591  -0.5291131   0.482198   -0.8639283  -0.26589245 -0.93928236],"[  1.23660285  -0.05965426  -0.03640942  -0.07223699   0.12613063
  -0.05373589  -0.03288516   0.17045425  -0.95588693  -0.45586678
 -10.          -9.94265062  -4.40078751  10.         -10.
   4.38046686  -7.21716978]",0.3493829101369564,False,"{'x_position': -0.0036470983445964734, 'x_velocity': -0.647997917289954}"
275,[-0.88205504 -0.26810658  0.7714059   0.663995    0.18587483 -0.7978193 ],"[ 1.23190974e+00 -1.46126713e-01 -1.21360766e-01 -1.08123781e-01
  2.65795579e-01 -1.70356863e-01  8.23144806e-03  6.63508793e-02
 -1.04404850e+00 -7.18921227e-01 -1.00000000e+01 -1.00000000e+01
 -4.61697880e+00  1.00000000e+01 -1.00000000e+01  4.93578493e+00
 -1.00000000e+01]",0.01098245414215063,False,"{'x_position': -0.01153878332243644, 'x_velocity': -0.986460622229996}"
276,[ 0.5826808  -0.8059396   0.82757336 -0.87619984 -0.38656324  0.42010066],"[  1.22407821  -0.23422522  -0.18729304  -0.18222311   0.49829068
  -0.27862281   0.03386827  -0.04828917  -1.40469957  -1.24635009
 -10.          -5.68227998 -10.          10.         -10.
   1.8006835  -10.        ]",-0.23574538426897004,False,"{'x_position': -0.021402605794476386, 'x_velocity': -1.232977809004993}"
277,[ 0.88950586  0.12993178 -0.44519308  0.0747423  -0.75187665 -0.16126099],"[  1.21471381  -0.29434307  -0.19217068  -0.30588036   0.74763963
  -0.33240562   0.01817262  -0.10313496  -1.25704271  -1.08610974
  -4.17936609   4.3780836  -10.          10.          -0.99127256
  -5.59396767  -1.272962  ]",-0.3316663898888351,False,"{'x_position': -0.03204311123476169, 'x_velocity': -1.3300631800356628}"
278,[-0.62621343 -0.8077634  -0.744516    0.1287905   0.06699878  0.85375804],"[  1.20438306  -0.33496154  -0.16031836  -0.46008733   0.89981817
  -0.34363645  -0.03720521  -0.05842536  -1.54428343  -1.52715108
  -5.9645608    3.54638046 -10.          10.          -1.85540015
  -8.14588731  10.        ]",-0.40917809063423954,False,"{'x_position': -0.04329774469816263, 'x_velocity': -1.4068291829251178}"
279,[ 0.12436152 -0.87907016  0.32325312  0.32221884 -0.644271    0.732857  ],"[  1.19073672  -0.36342438  -0.09594825  -0.65959851   0.95324588
  -0.31604664  -0.14250582   0.09859937  -1.64688972  -1.79880998
  -1.46569403  10.         -10.           2.99502458   8.45870304
 -10.          10.        ]",-0.6035356145829863,False,"{'x_position': -0.056110439917942366, 'x_velocity': -1.601586902472467}"
280,[ 0.3100013  -0.6426859  -0.8263968   0.8878152   0.08990798 -0.75553256],"[  1.17804984  -0.35095764   0.02871064  -0.88966093   0.89880836
  -0.20934492  -0.30461227   0.259366    -1.51687692  -1.53048998
   2.05335496  10.         -10.         -10.          10.
 -10.          10.        ]",-0.5197382981252145,False,"{'x_position': -0.0682478726510581, 'x_velocity': -1.5171790916394663}"
281,[-0.8091457   0.7334359  -0.0868915   0.5225038  -0.97957444 -0.460373  ],"[  1.16441171  -0.3591996    0.11180523  -1.08166837   0.77193812
  -0.11312184  -0.48234833   0.3341889   -1.87223557  -1.86914596
  -3.52428084   5.91811463 -10.         -10.          10.
 -10.           4.73326123]",-0.708913631457202,False,"{'x_position': -0.08189802398214992, 'x_velocity': -1.7062689163864775}"
282,[-0.07807942  0.48907584 -0.4275938  -0.4816858  -0.8218872   0.9970301 ],"[  1.14666596  -0.40463046   0.13618879  -1.23505583   0.62676817
  -0.05407205  -0.66871055   0.41403475  -2.03677571  -2.55557715
  -7.43799746   0.77397403 -10.         -10.           5.11500526
 -10.          10.        ]",-0.9729358810241009,False,"{'x_position': -0.09766287329688325, 'x_velocity': -1.9706061643416668}"
283,[-0.48256496 -0.03040741 -0.11384901 -0.6774839   0.19120528  0.02597654],"[  1.12459793  -0.49434038   0.09982522  -1.36470513   0.4541633
  -0.06229896  -0.82434323   0.52907399  -2.23460568  -2.97312851
 -10.          -9.84941559 -10.         -10.          -7.05845129
 -10.          10.        ]",-1.1416097469376263,False,"{'x_position': -0.11478980748147163, 'x_velocity': -2.140866773073548}"
284,[-0.8135986   0.10907604 -0.66820496 -0.3762767  -0.13818876  0.51295847],"[  1.09820057  -0.64271898  -0.01677038  -1.46235963   0.23485812
  -0.16144412  -0.93289965   0.66290757  -2.32454375  -3.67173369
 -10.         -10.         -10.         -10.         -10.
 -10.          10.        ]",-1.3013501424232328,False,"{'x_position': -0.13318825546286037, 'x_velocity': -2.2998059976735914}"
285,[-0.79331493  0.31121644  0.33510783  0.7334494   0.6651976   0.4523998 ],"[ 1.06714062e+00 -8.24447579e-01 -1.85337646e-01 -1.52371494e+00
 -1.48022593e-03 -3.15091108e-01 -1.00410192e+00  8.38848106e-01
 -1.80526808e+00 -4.05755304e+00 -1.00000000e+01 -1.00000000e+01
 -5.27579493e+00 -1.00000000e+01 -1.00000000e+01 -7.49335729e+00
  1.00000000e+01]",-1.061458147560866,False,"{'x_position': -0.14966373181964734, 'x_velocity': -2.059434544598372}"
286,[ 0.10757754 -0.2438604  -0.6557326  -0.5242621  -0.6113825  -0.31323048],"[  1.03187923  -1.01535507  -0.36631607  -1.56269979  -0.26901235
  -0.47729193  -1.07569399   0.93773302  -1.56806165  -4.76157306
 -10.         -10.          -4.26537598 -10.         -10.
 -10.           6.78537495]",-0.7018905973146776,True,"{'x_position': -0.16326887436893198, 'x_velocity': -1.700642818660579}"
287,[-0.92053866 -0.9510768   0.9167928  -0.7356016  -0.6870362   0.85983634],"[ 1.25032603 -0.03021386 -0.03150095 -0.02233687  0.07241666 -0.03316371
 -0.01096855  0.0629585  -0.92729793 -0.47195101 -8.23780016 -7.45329874
 -4.36170843 10.         -8.00969111 -3.02542032 10.        ]",0.5284217337858363,False,"{'x_position': -0.0031821926379313383, 'x_velocity': -0.4672333713281468}"
288,[ 0.16185464 -0.46494776 -0.45148382  0.929011    0.12217157 -0.8665319 ],"[ 1.24726641 -0.06673072 -0.04554226 -0.07902438  0.17877186 -0.0559203
 -0.04594583  0.13308478 -0.64843333 -0.28318392 -0.92010701  3.911087
 -9.86336436  9.73752254  2.29872626 -5.79379912  2.14017877]",0.21145718162906643,False,"{'x_position': -0.009473934577980472, 'x_velocity': -0.7864677425061417}"
289,[-0.9425235  -0.9200562   0.67498606  0.219587    0.89025354  0.30165085],"[  1.24346692  -0.09220634  -0.03158348  -0.16891274   0.29803499
  -0.07048764  -0.06639123   0.16375292  -0.86930637  -0.67532411
  -5.44059148  -0.45842909 -10.          10.          -5.93289361
   0.69148568   5.58692497]",0.2359927110770312,False,"{'x_position': -0.015561015104253749, 'x_velocity': -0.7608850657841596}"
290,[ 0.02364749  0.70688766 -0.93241984  0.9768482   0.6021731  -0.3600546 ],"[ 1.23897987 -0.11741862 -0.02524277 -0.24694771  0.39196818 -0.09962703
 -0.05575015  0.18098326 -0.26688273 -0.43036924 -0.86393084  2.10299376
 -7.18744     3.95083514 -1.34382271  1.94690153 -1.28503651]",0.4315801916180279,False,"{'x_position': -0.02008584444800325, 'x_velocity': -0.5656036679686878}"
291,[ 0.07857106  0.4795364   0.22008118  0.6254006   0.4404269  -0.5195581 ],"[ 1.23572412e+00 -1.11798846e-01  4.06312954e-04 -2.93663500e-01
  4.31888726e-01 -9.97887726e-02 -3.26185704e-02  1.37885687e-01
  1.65765313e-01 -3.83875497e-01  2.12469810e+00  4.08174548e+00
 -4.36507920e+00  6.09015506e+00  1.10049775e+00  3.91808310e+00
 -9.54598956e+00]",0.9517733097483028,False,"{'x_position': -0.02046254111630284, 'x_velocity': -0.04708708353744857}"
292,[-0.34093732 -0.26752356 -0.86485434  0.5517339  -0.22833753  0.1837429 ],"[ 1.23279953 -0.10125678  0.02285429 -0.32327227  0.42925983 -0.09091577
 -0.01563705  0.07419455 -0.09005445 -0.34359571  0.64410759  1.7570582
 -3.16202136 -6.70013661  1.30334569  0.26605559 -6.32806562]",1.0338502736742767,False,"{'x_position': -0.02018113020708288, 'x_velocity': 0.03517636365249488}"
293,[ 0.36084804  0.09725717 -0.666741   -0.06073596 -0.9890348   0.1551574 ],"[  1.23013208  -0.09972002   0.0316906   -0.34326189   0.33685775
  -0.070126    -0.04309534   0.04127326  -0.42830796  -0.32769042
  -0.18783833   0.57970599  -1.85499274 -10.           3.98392571
  -7.14091765  -1.9869363 ]",0.7376477357592623,False,"{'x_position': -0.022267226990366082, 'x_velocity': -0.26076209791040017}"
294,[ 0.2789724   0.55081403 -0.01846834  0.9375302   0.6338976   0.24474525],"[  1.22733601  -0.09444893   0.033893    -0.33747648   0.20588935
  -0.03334025  -0.09557122   0.03506789  -0.02166917  -0.37152486
   1.54691344   0.03510959   3.2409594  -10.           5.25792319
  -5.97902022   0.45776963]",0.7716165141218059,False,"{'x_position': -0.024080516860347567, 'x_velocity': -0.22666123374768565}"
295,[-0.18824235  0.7555974   0.64476496 -0.24567153 -0.5536247   0.4891808 ],"[ 1.22312662e+00 -9.41177385e-02  8.69404111e-03 -2.87880493e-01
  1.12758665e-01 -1.57566483e-03 -1.54213412e-01  7.31991109e-02
 -1.01873998e-01 -6.91420806e-01 -1.46090442e+00 -6.33234748e+00
  9.09434525e+00 -6.95189079e+00  2.66773521e+00 -8.63971816e+00
  9.00166398e+00]",0.9353122470410968,False,"{'x_position': -0.02458499298699273, 'x_velocity': -0.06305951583064541}"
296,[ 0.23701896  0.8385646  -0.08291766  0.6348283   0.17048712 -0.80024886],"[ 1.2181032  -0.10389309 -0.05130163 -0.19255995  0.04512094  0.01506813
 -0.2100084   0.09236998  0.20570208 -0.56426818 -1.07922109 -8.75440975
 10.         -7.85769808  1.37258072 -5.28735526 -4.07155123]",1.0538912972818844,False,"{'x_position': -0.024139152889079758, 'x_velocity': 0.05573001223912154}"
297,[ 0.23749858 -0.8673542  -0.93659204  0.39716116  0.308637    0.3435984 ],"[ 1.21346866e+00 -1.12253383e-01 -1.11582360e-01 -9.84153464e-02
  8.44839936e-03  2.25152855e-02 -2.43146441e-01  7.48512728e-02
  8.51539771e-02 -5.81592391e-01 -9.53132978e-01 -6.27926638e+00
  9.42541431e+00 -2.01187343e+00  5.68537951e-01 -3.03844482e+00
 -3.26000939e-01]",1.140288982272555,False,"{'x_position': -0.02300038529283169, 'x_velocity': 0.1423459495310084}"
298,[ 0.623102    0.9616522  -0.937507    0.04587732 -0.90202206 -0.20168197],"[ 1.20921690e+00 -1.24127387e-01 -1.79676906e-01  2.78784534e-04
 -1.15319304e-02  2.53588483e-02 -2.76512986e-01  6.22415813e-02
  7.77765682e-02 -5.06486210e-01 -1.97781179e+00 -1.00000000e+01
  1.00000000e+01 -3.11139650e+00  1.96565367e-01 -5.12319201e+00
 -1.25950415e+00]",1.0922793697884465,False,"{'x_position': -0.02223776333730122, 'x_velocity': 0.09532774444130902}"
299,[ 0.51745135  0.13425037 -0.26734963  0.31623912 -0.24670868  0.8828051 ],"[ 1.20425332 -0.14184912 -0.24396168  0.07941736 -0.01238418  0.0267202
 -0.32081525  0.10230471 -0.25300255 -0.58011161 -2.32225036 -6.00928878
  6.01018103  1.52831056  0.10417063 -5.6656978  10.        ]",0.876367381656994,False,"{'x_position': -0.023216444507090615, 'x_velocity': -0.12233514622367456}"
300,[ 0.21266025 -0.26868105  0.29052767 -0.99933726  0.6609868   0.92341846],"[  1.20005995  -0.18139786  -0.30633281   0.10703399   0.02757539
  -0.01494013  -0.32941846   0.22922512  -0.48587327  -0.51263247
  -7.59735729  -9.90163337   1.40408175   8.16218822 -10.
   3.64835765  10.        ]",0.6195847809003876,False,"{'x_position': -0.026239845456817446, 'x_velocity': -0.3779251187158539}"
301,[-0.1472169  -0.6727986   0.3437074  -0.41357625  0.23222038  0.5956839 ],"[  1.19570509  -0.25622775  -0.39645506   0.10675489   0.11590172
  -0.12407978  -0.28016644   0.42560732  -0.66132505  -0.61199507
 -10.         -10.          -1.42641302  10.         -10.
   8.75053755  10.        ]",0.42227436915293726,False,"{'x_position': -0.030852272292572525, 'x_velocity': -0.5765533544693848}"
302,[ 0.6821588   0.91616017 -0.28892335  0.01129982  0.43758708 -0.38973963],"[  1.19181535  -0.33130969  -0.48022976   0.09332561   0.20491524
  -0.24448934  -0.20581107   0.60655732  -0.34099194  -0.33635122
  -7.70439417  -8.39986924  -1.84220518   8.32580333 -10.
   8.90060854  10.        ]",0.5030146068060466,False,"{'x_position': -0.03481430204743049, 'x_velocity': -0.4952537193572454}"
303,[ 0.77948177  0.33731732  0.8936253  -0.19096144  0.34223267 -0.7891541 ],"[  1.19015797  -0.38076782  -0.5252789    0.06070512   0.3183967
  -0.33974765  -0.13049871   0.68633046  -0.1370875   -0.09143116
  -4.65205726  -2.91543499  -6.00210953  10.         -10.
  10.           3.53152275]",0.7572440744214806,False,"{'x_position': -0.036737979094545216, 'x_velocity': -0.24045963088934091}"
304,[ 0.75020915 -0.6525948  -0.06769286  0.00595864 -0.43662372  0.85030514],"[  1.1904417   -0.39507333  -0.50284433  -0.02347365   0.48702221
  -0.38088363  -0.08468421   0.75434814  -0.23585566   0.16672366
   1.08904915   8.58784657 -10.          10.           0.39644868
   1.21557471  10.        ]",0.8167263945796787,False,"{'x_position': -0.03818891217199287, 'x_velocity': -0.18136663468095673}"
305,[-0.545016   -0.5460831   0.94372946 -0.5141588  -0.5642475   0.6077773 ],"[  1.18981274  -0.40487396  -0.4491804   -0.15401152   0.70532272
  -0.39529826  -0.07989257   0.85786332  -0.79645914  -0.30037296
  -3.61435462   4.59973302 -10.          10.          -4.48983917
   1.04865372   8.93007177]",0.4762017356680548,False,"{'x_position': -0.04235979426977221, 'x_velocity': -0.5213602622224176}"
306,[ 0.71461016 -0.7667545  -0.98962885  0.7393327  -0.37399065 -0.37742653],"[  1.19015277  -0.39528684  -0.34689861  -0.33637857   0.89256674
  -0.3701315   -0.09822957   0.90131911  -0.74028882   0.32711978
   6.07117787  10.         -10.          10.          10.
  -5.81052826   2.62998294]",0.22254577848620408,False,"{'x_position': -0.04855617301792628, 'x_velocity': -0.7745473435192586}"
307,[ 0.6715058  -0.5580851   0.17190458 -0.1578139   0.11863633 -0.45888808],"[  1.1926505   -0.33385664  -0.15893249  -0.57898496   0.95675026
  -0.2667177   -0.14483016   0.90337833  -0.59833203   0.27459416
   9.20638641  10.         -10.           3.77586929  10.
  -5.91767193  -2.05217194]",0.31910958482006646,False,"{'x_position': -0.053994964433047084, 'x_velocity': -0.6798489268901005}"
308,[ 0.64808685 -0.2221573  -0.6529148  -0.8710866  -0.5977769  -0.41767055],"[  1.19380971  -0.26670111   0.03627482  -0.82570043   0.92247704
  -0.15356604  -0.19357628   0.87350694  -0.83514449  -0.01327613
   5.70601309  10.         -10.         -10.          10.
  -5.38176405  -5.5937466 ]",0.3307666276595343,False,"{'x_position': -0.05933134144442462, 'x_velocity': -0.6670471264221918}"
